,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Adarsh Nagar,28.614192499999998,77.0715411848447,Eagle Boys Pizza,28.615594896052958,77.07078355566608,Pizza Place
1,Adarsh Nagar,28.614192499999998,77.0715411848447,Bikanerwala,28.61339089253902,77.07608403328531,Indian Restaurant
2,Adarsh Nagar,28.614192499999998,77.0715411848447,Bikano East Patel Nagar,28.61619006774298,77.06697808475113,Fast Food Restaurant
3,Adarsh Nagar,28.614192499999998,77.0715411848447,McDonald's,28.61632984767444,77.06703429642255,Fast Food Restaurant
4,Ashok Vihar,28.6994533,77.1848256,Nat Khat Caterers,28.69963,77.187832,Indian Restaurant
5,Ashok Vihar,28.6994533,77.1848256,Bakers Stop,28.700494682046667,77.1887157051342,Bakery
6,Ashok Vihar,28.6994533,77.1848256,Invitation Banquet,28.696018214387546,77.18595287338057,Diner
7,Ashok Vihar,28.6994533,77.1848256,Gola Northend,28.70124229892223,77.18928847927491,Indian Restaurant
8,Azadpur,28.707656800000002,77.1755473,jungrele,28.705655,77.172069,Argentinian Restaurant
9,Azadpur,28.707656800000002,77.1755473,Moti Dhaba,28.710008293100113,77.17168845082367,Indian Restaurant
10,Azadpur,28.707656800000002,77.1755473,Cafe Coffee Day Fortis Shalimar Bagh,28.71044637297854,77.17905674441728,Café
11,Azadpur,28.707656800000002,77.1755473,Tulip Banquet,28.704523114843575,77.17244102614772,Restaurant
12,Keshav Puram,28.688926399999996,77.16168329999999,Meriton Redtraunt,28.690401358461123,77.16029814729266,Indian Restaurant
13,Keshav Puram,28.688926399999996,77.16168329999999,Kings,28.688909,77.159428,Gastropub
14,Keshav Puram,28.688926399999996,77.16168329999999,Sonu De Chole Kulche,28.68992570480682,77.16438148307688,Food Truck
15,Keshav Puram,28.688926399999996,77.16168329999999,Cafe Coffee Day,28.692503,77.159449,Café
16,Keshav Puram,28.688926399999996,77.16168329999999,The Master Bakers,28.688380959062783,77.16642590667539,Bakery
17,Kohat Enclave,28.6980415,77.14053929999999,Peshawari,28.699011895277625,77.13901984954316,Indian Restaurant
18,Kohat Enclave,28.6980415,77.14053929999999,Bharat Sweets,28.699292251663586,77.13976139578541,Food
19,Kohat Enclave,28.6980415,77.14053929999999,Bobby Punjabi Rasoi,28.699221619630976,77.13939624101461,Indian Restaurant
20,Kohat Enclave,28.6980415,77.14053929999999,Sita Ram Diwan Chand Chhole Bhature,28.700147505686903,77.14156468219393,Indian Restaurant
21,Kohat Enclave,28.6980415,77.14053929999999,Sankalp Restaurant,28.6999894240829,77.13750958442688,Indian Restaurant
22,Kohat Enclave,28.6980415,77.14053929999999,Puran Chand,28.69919510603743,77.1370030451734,Indian Restaurant
23,Kohat Enclave,28.6980415,77.14053929999999,"BIG BAKE, Pitampura, Delhi",28.700069870269402,77.13697495573547,Bakery
24,Kohat Enclave,28.6980415,77.14053929999999,Bikanervala,28.694739687419798,77.14291853351878,Food Court
25,Pitam Pura,28.703267600000004,77.1322497,Angrezee Dhaba,28.702591666686796,77.1338120427639,Indian Restaurant
26,Pitam Pura,28.703267600000004,77.1322497,Sagar Ratna,28.702969169565776,77.13246370626295,Indian Restaurant
27,Pitam Pura,28.703267600000004,77.1322497,giri momos centre,28.701705,77.133871,Fried Chicken Joint
28,Pitam Pura,28.703267600000004,77.1322497,Five star dhaba,28.700666427612305,77.13612365722656,Indian Restaurant
29,Rani Bagh,28.6859821,77.13252446991609,Berco's,28.68870103002682,77.13517159999057,Chinese Restaurant
30,Rani Bagh,28.6859821,77.13252446991609,The Good Food Cafe,28.68828560558589,77.13519407188082,Fast Food Restaurant
31,Rani Bagh,28.6859821,77.13252446991609,CCD,28.68971884044455,77.13463227335599,Café
32,Rani Bagh,28.6859821,77.13252446991609,BTW Food Court,28.689555,77.135137,Indian Restaurant
33,Rithala,28.7208064,77.1071813,Mosaic,28.720531559662774,77.11012967123072,Restaurant
34,Shakti Nagar,28.67979,77.1949142,Vikrant Cafe,28.68063645688435,77.1977955341845,Café
35,Shakti Nagar,28.67979,77.1949142,"KFC, Bunglow Road",28.680783561127345,77.19794713952676,Fried Chicken Joint
36,Shakti Nagar,28.67979,77.1949142,Bombay Bhel House,28.681671427591535,77.1989522218899,Snack Place
37,Shakti Nagar,28.67979,77.1949142,Chowringhee,28.681128752641524,77.1903497887545,Indian Restaurant
38,Bara Hindu Rao,28.659518100000003,77.20501,Al Naseem Food,28.660903,77.206671,Afghan Restaurant
39,Bara Hindu Rao,28.659518100000003,77.20501,Anmol Chicken Corner,28.661401304114374,77.20702626124042,Afghan Restaurant
40,Bara Hindu Rao,28.659518100000003,77.20501,Pancham Chole Kulche,28.6570239,77.20371,Snack Place
41,Bara Hindu Rao,28.659518100000003,77.20501,Kamal Sweets,28.659733,77.209043,Indian Restaurant
42,Chandni Chowk,28.6434826,77.22274209999999,KFC,28.644982021197148,77.22350390164345,Fast Food Restaurant
43,Chandni Chowk,28.6434826,77.22274209999999,KFC,28.641804550179593,77.21909137541454,Fast Food Restaurant
44,Chandni Chowk,28.6434826,77.22274209999999,Comesum - The Food Junction,28.642845893918626,77.22303795563867,Food Court
45,Chandni Chowk,28.6434826,77.22274209999999,Khan Market,28.642219571401565,77.21831102602113,Chinese Restaurant
46,Chawri Bazaar,28.649926899999997,77.2297876,Karim's | करीम | کریم (Karim's),28.64949759295152,77.2336908547362,Indian Restaurant
47,Chawri Bazaar,28.649926899999997,77.2297876,Shyam Sweets,28.65053027754531,77.23030274534305,Snack Place
48,Chawri Bazaar,28.649926899999997,77.2297876,Al Jawahar | अल जवाहर | امام جواہر,28.649608846249652,77.23355530889293,Indian Restaurant
49,Chawri Bazaar,28.649926899999997,77.2297876,Aslam Chicken Corner,28.648283325082538,77.23364759564103,Indian Restaurant
50,Chawri Bazaar,28.649926899999997,77.2297876,ashok chat,28.649350624381324,77.22700124489958,Fast Food Restaurant
51,Civil Lines,28.676857199999997,77.2250565,moets,28.678014772437493,77.2247389303534,Chinese Restaurant
52,Civil Lines,28.676857199999997,77.2250565,The Embassy,28.676555564617807,77.2249690933671,Indian Restaurant
53,Civil Lines,28.676857199999997,77.2250565,1 UP,28.676463415350646,77.22515434619861,Italian Restaurant
54,Civil Lines,28.676857199999997,77.2250565,Best Of Asia Village,28.676904,77.225201,Asian Restaurant
55,Civil Lines,28.676857199999997,77.2250565,The Lounge,28.675218903882744,77.22730725930253,Café
56,Civil Lines,28.676857199999997,77.2250565,Fast Trax,28.68014665360787,77.22328496338821,Burger Joint
57,Dariba Kalan,28.654602399999998,77.2333794,Haldiram's,28.656288944079645,77.23170543090595,Snack Place
58,Dariba Kalan,28.654602399999998,77.2333794,Babu Ram Paranthe Wale,28.655820126621173,77.23044812679291,Indian Restaurant
59,Dariba Kalan,28.654602399999998,77.2333794,Parawthe Wale,28.65603318700734,77.23050001546382,Indian Restaurant
60,Dariba Kalan,28.654602399999998,77.2333794,McDonald's,28.656161882924813,77.23420838244962,Fast Food Restaurant
61,Dariba Kalan,28.654602399999998,77.2333794,Natraj | नटराज,28.656357336560394,77.23058723790143,Snack Place
62,Dariba Kalan,28.654602399999998,77.2333794,Pt. Gaya Prasad Shiv Charan Paranthewale | पंडित गया प्रसाद शिव चरण परांठे वाले,28.656027192178698,77.23043753835134,Indian Restaurant
63,Dariba Kalan,28.654602399999998,77.2333794,Wah Ji Wah,28.656298858067792,77.23308064958253,Vegetarian / Vegan Restaurant
64,Dariba Kalan,28.654602399999998,77.2333794,Old Famous Jalebi Waala,28.6560115814209,77.23360443115234,Indian Restaurant
65,Dariba Kalan,28.654602399999998,77.2333794,Pt. Kanhaiya Lal Durga Prashad Dixit Parawthe Wala,28.656108981032254,77.2304648037729,Indian Restaurant
66,Dariba Kalan,28.654602399999998,77.2333794,Ganga Bhojnayala,28.6561928700265,77.2304423499098,Indian Restaurant
67,Kamla Nagar,28.68034425,77.20212920033049,Bille Di Hatti | बिल्ले दी हट्टी,28.681587650228284,77.20171940298643,Breakfast Spot
68,Kamla Nagar,28.68034425,77.20212920033049,Mad Over Donuts,28.680756979848095,77.20388888228172,Donut Shop
69,Kamla Nagar,28.68034425,77.20212920033049,Chicago Pizza,28.681589774555057,77.20320224761963,Pizza Place
70,Kamla Nagar,28.68034425,77.20212920033049,Gopal Sweets,28.682659955224068,77.19966531984826,Breakfast Spot
